Packet #,Jitter(ms),,,,,
1,0,0,10.848,,OK,
3,0.208952361,3.343237778,21.696,,OK,
5,0.646497707,10.55291567,32.544,,OK,146.2547159
7,1.108869565,18.59736311,43.392,,OK,
9,2.25629362,38.06501756,54.24,,OK,
11,3.233086672,55.95,65.088,,OK,
13,4.18013847,74.33591544,75.936,,OK,
15,5.048630031,92.41191889,86.784,,OK,
17,5.949438626,111.8734864,97.632,,OK,
19,6.86014849,132.3942829,108.48,,OK,
21,7.463354924,148.9057343,119.328,,OK,
23,8.051777582,165.7838518,130.176,,OK,
25,8.827451823,186.2464172,141.024,,OK,
27,9.188792751,200.8553239,151.872,,OK,
29,9.045525399,207.751839,162.72,,OK,
31,8.550148922,206.6323372,173.568,,OK,
33,8.172578934,209.1413663,184.416,,OK,
35,8.881875049,189.6200496,195.264,,OK,
39,9.211131539,175.4700707,206.112,,OK,
41,9.039405325,181.9335828,216.96,,OK,
43,8.891667944,188.60919,227.808,,OK,
45,8.723019204,194.8024781,238.656,,OK,
47,8.56565733,201.0077073,249.504,,OK,
49,8.452801442,207.7676704,260.352,,OK,
51,8.306400615,213.8780587,271.2,,OK,
53,8.209975521,220.6416578,282.048,,OK,
55,8.123255871,227.4641189,292.896,,OK,
57,7.97290058,233.1816901,303.744,,OK,
59,7.897387238,239.9463772,314.592,,OK,
61,7.822907112,246.6520824,325.44,,OK,
63,7.734868487,253.0663716,336.288,,OK,
65,7.679777846,259.9197898,347.136,,OK,
67,7.62663705,266.7493149,357.984,,OK,
69,7.566652623,273.4162011,368.832,,OK,
71,7.496986279,279.8681922,379.68,,OK,
73,7.456296331,286.7141393,390.528,,OK,
75,7.406275949,293.3701096,401.376,,OK,
77,7.365188271,300.1189827,412.224,,OK,
79,7.329896581,306.9195039,423.072,,OK,
81,7.298876864,313.753085,433.92,,OK,
83,7.382159831,322.3844893,444.768,,OK,
85,6.966141189,321.6586278,455.616,,OK,
87,6.82683058,316.9214563,466.464,,OK,
89,6.445957516,316.1885948,477.312,,OK,
91,6.109009636,317.2433862,488.16,,OK,
93,12.26388306,212.6564018,499.008,,OK,
95,12.84396809,234.2016452,509.856,,OK,
97,13.38991355,255.7807407,520.704,,OK,
99,13.89540323,277.2584892,531.552,,OK,
101,13.88863224,291.0455566,542.4,,OK,
103,18.81512338,198.3330661,553.248,,OK,
105,19.47990444,168.8814458,564.096,,OK,
107,19.20548082,183.9705723,574.944,,OK,
109,19.04641806,200.631049,585.792,,OK,
111,18.70172947,214.1624496,596.64,,OK,
113,18.33192372,226.9472871,607.488,,OK,
115,17.24563422,227.8985788,618.336,,OK,
117,17.26974536,245.5299913,629.184,,OK,
119,17.0919097,259.954366,640.032,,OK,
121,17.00392231,275.6384776,650.88,,OK,
123,16.86935818,290.4893738,661.728,,OK,
125,16.151799,295.8777851,672.576,,OK,
127,15.50702527,301.7132044,683.424,,OK,
129,14.9113659,307.6896797,694.272,,OK,
131,14.3775858,314.060564,705.12,,OK,
133,13.91605239,321.0536153,715.968,,OK,
135,13.44473354,314.6786647,726.816,,OK,
137,12.84155389,318.4725239,737.664,,OK,
139,12.26388486,322.0713732,748.512,,OK,
141,11.54346297,321.3342386,759.36,,OK,
143,10.82628583,321.2656098,770.208,,OK,
145,10.16651524,321.5355661,781.056,,OK,
147,9.592056703,320.5603874,791.904,,OK,
149,14.55749521,231.5213147,802.752,,OK,
151,13.76152249,229.699383,813.6,,OK,
153,13.29971541,236.0719923,824.448,,OK,
155,12.67019934,239.2994506,835.296,,OK,
157,12.22414321,244.8327519,846.144,,OK,
159,11.61962091,247.3845382,856.992,,OK,
161,11.02708468,249.5235794,867.84,,OK,
163,10.58590191,253.4917398,878.688,,OK,
165,10.19802368,257.8715901,889.536,,OK,
167,9.773689093,261.2802603,900.384,,OK,
169,9.52667542,267.1017307,911.232,,OK,
171,9.293724727,272.901195,922.08,,OK,
173,9.408291043,284.0279808,932.928,,OK,
175,9.943706165,302.0029138,943.776,,OK,
177,10.51201172,321.0395088,954.624,,OK,
179,9.938327853,322.3725787,965.472,,OK,
181,9.330050237,322.1666927,976.32,,OK,
183,8.869573223,320.2042747,987.168,,OK,
185,8.422258577,321.9168136,998.016,,OK,
187,7.944219791,321.1431756,1008.864,,OK,
189,7.479205686,320.6391814,1019.712,,OK,
191,7.082245455,319.5113394,1030.56,,OK,
193,6.813267857,322.2899433,1041.408,,OK,
195,6.415092679,321.8474783,1052.256,,OK,
197,6.038902067,322.2435212,1063.104,,OK,
199,5.727848945,321.1814691,1073.952,,OK,
201,5.419618823,321.9776361,1084.8,,OK,
203,5.125578466,321.262663,1084.8,,OK,
205,4.82337575,321.552998,1063.104,,OK,
207,4.529110258,321.6681259,1041.408,,OK,
209,4.358970374,319.8612538,1019.712,,OK,
211,4.190820413,321.5298248,998.016,,OK,
213,3.963424818,322.0823157,987.168,,OK,
215,3.785735399,320.9619216,976.32,,OK,
217,3.584916874,321.5345606,987.168,,OK,
219,3.394241812,322.0686764,998.016,,OK,
221,3.276961206,320.5509243,1008.864,,OK,
223,3.114976068,321.2361233,1008.864,,OK,
227,2.961013758,320.5845442,1019.712,,OK,
229,2.868572773,319.1025862,998.016,,OK,
231,2.855185593,321.7569641,954.624,,OK,
233,2.69594175,321.44968,889.536,,OK,
235,2.543330266,321.703838,824.448,,OK,
237,2.472676444,320.2909689,824.448,,OK,
239,2.399158409,321.5873568,835.296,,OK,
241,2.257289384,321.7166108,846.144,,OK,
243,2.158078054,321.0467027,846.144,,OK,
245,2.038940273,320.7948291,856.992,,OK,
247,1.95275145,321.4547482,856.992,,OK,
249,1.85646811,321.0425302,846.144,,OK,
251,1.740640971,321.0392963,856.992,,OK,
253,1.700789848,319.9362733,867.84,,OK,
255,1.678290864,321.2770794,878.688,,OK,
257,1.65775456,319.9273694,889.536,,OK,
259,1.69408672,322.1664386,856.992,,OK,
261,1.625664008,321.5671152,856.992,,OK,
263,1.849745271,316.356151,867.84,,OK,
265,2.07225924,321.7661198,878.688,,OK,
267,1.963330364,321.4367226,889.536,,OK,
269,1.875264765,321.9910033,900.384,,OK,
271,1.774853044,321.7223261,911.232,,OK,
273,1.68621893,321.3656189,922.08,,OK,
275,1.742089011,318.7854787,932.928,,OK,
277,4.630259642,270.8326596,932.928,,OK,
279,4.611629025,275.1648293,943.776,,OK,
281,4.625141635,279.9926601,954.624,,OK,
283,4.607885894,284.3417099,965.472,,OK,
285,4.577090012,288.4568617,976.32,,OK,
287,4.624930497,293.7993994,987.168,,OK,
289,4.707796702,299.7501892,998.016,,OK,
291,4.748111332,305.10302,1008.864,,OK,
293,4.499865262,304.3268458,1019.712,,OK,
295,4.61866067,310.7274376,1030.56,,OK,
297,4.705151176,316.7299463,1041.408,,OK,
299,4.727202214,321.7879141,1052.256,,OK,
301,4.44827309,321.5235779,1052.256,,OK,
303,4.192387966,321.1694668,1041.408,,OK,
305,3.965243294,320.6113936,1030.56,,OK,
307,3.96508029,316.6487583,1041.408,,OK,
309,4.06033182,322.1378631,1052.256,,OK,
311,4.339266345,313.6145789,1008.864,,OK,
313,4.42715431,319.3600527,1008.864,,OK,
315,4.315611714,322.0025254,998.016,,OK,
317,4.074424975,321.5459016,943.776,,OK,
319,3.826614963,321.4364368,922.08,,OK,
321,3.604304847,321.7060899,932.928,,OK,
323,3.926208162,312.951332,932.928,,OK,
325,4.186119416,321.0361202,867.84,,OK,
327,3.957506633,321.5644351,802.752,,OK,
329,3.712188698,321.5320154,813.6,,OK,
331,3.497839182,321.8146119,813.6,,OK,
333,3.314760004,322.3831842,813.6,,OK,
335,3.632142726,313.9903007,813.6,,OK,
337,3.882053451,321.621015,813.6,,OK,
339,4.450675458,308.6410094,813.6,,OK,
341,4.582440908,302.0820868,813.6,,OK,
343,5.291995754,318.0174052,824.448,,OK,
345,5.209129797,321.9835457,802.752,,OK,
347,5.038140414,319.510246,791.904,,OK,
349,4.873699618,321.9173337,791.904,,OK,
351,4.580207496,321.739508,791.904,,OK,
353,4.313073735,322.0455753,791.904,,OK,
355,4.049997794,321.9417167,791.904,,OK,
357,3.808689202,322.130777,791.904,,OK,
359,3.603356919,321.6074043,791.904,,OK,
361,3.400847195,321.9706057,791.904,,OK,
363,3.213435828,322.372871,791.904,,OK,
365,3.021213756,322.2349883,791.904,,OK,
367,2.847533063,321.9926657,791.904,,OK,
371,2.839015601,319.281412,781.056,,OK,
373,2.732272167,318.1502913,781.056,,OK,
375,2.742845865,321.0517427,791.904,,OK,
377,2.596006832,321.445164,781.056,,OK,
379,2.504830259,320.3079823,781.056,,OK,
381,2.436650514,321.7219367,781.056,,OK,
383,2.300778586,321.459237,791.904,,OK,
385,2.185991195,321.9234173,781.056,,OK,
387,2.070497474,321.5853257,781.056,,OK,
389,1.959276278,321.876284,781.056,,OK,
391,1.886359052,321.0836833,791.904,,OK,
393,1.818841257,321.8897577,802.752,,OK,
395,1.730835283,321.479012,802.752,,OK,
397,1.652241036,321.9523393,813.6,,OK,
399,1.586801013,321.3471387,824.448,,OK,
401,1.496949429,321.197963,824.448,,OK,
403,1.47862911,319.9941387,824.448,,OK,
405,1.489146958,321.6410533,835.296,,OK,
407,1.411790634,321.8924991,835.296,,OK,
409,1.331105678,321.7716678,846.144,,OK,
411,1.258865719,321.5964014,846.144,,OK,
413,1.187381347,321.7115172,846.144,,OK,
415,1.171364284,320.7804089,856.992,,OK,
417,1.162343558,321.8074416,856.992,,OK,
419,1.202874537,319.9966023,856.992,,OK,
421,1.242855858,321.839178,835.296,,OK,
423,1.197830637,321.3167257,824.448,,OK,
425,1.177044639,322.1819803,824.448,,OK,
427,1.151085551,321.4202811,824.448,,OK,
429,1.09605744,321.6909169,824.448,,OK,
431,1.039666051,321.4971217,835.296,,OK,
433,1.012130874,320.8980184,846.144,,OK,
435,1.002599368,321.7576452,856.992,,OK,
437,0.971938109,321.245626,867.84,,OK,
439,1.026672804,319.3979328,878.688,,OK,
441,1.123738615,321.9776586,878.688,,OK,
443,1.060403153,321.8672873,856.992,,OK,
445,1.016855719,321.5036431,835.296,,OK,
447,1.006821286,322.3599479,835.296,,OK,
449,0.955378907,322.1762047,802.752,,OK,
451,0.909717593,322.4010026,802.752,,OK,
453,0.880937132,321.9517723,802.752,,OK,
455,0.8564562,321.4625301,802.752,,OK,
457,0.844381487,322.1257909,791.904,,OK,
459,0.823966533,321.6080487,802.752,,OK,
461,0.861782076,320.1790334,791.904,,OK,
463,0.87425562,321.2403922,791.904,,OK,
465,0.858830754,321.86785,802.752,,OK,
467,0.824171159,321.5635728,813.6,,OK,
469,0.797106163,321.1724416,824.448,,OK,
471,1.315652666,312.0785913,824.448,,OK,
473,3.289757444,279.1772622,824.448,,OK,
475,4.036540069,294.4155417,835.296,,OK,
477,5.580156662,265.6811361,835.296,,OK,
479,6.275458148,282.3861166,846.144,,OK,
481,7.026744667,300.682159,856.992,,OK,
483,6.908682341,305.8199064,867.84,,OK,
485,7.408398597,320.7240489,867.84,,OK,
487,6.965859532,320.3962753,878.688,,OK,
489,6.610742901,321.6802688,878.688,,OK,
491,8.435621442,285.8714692,856.992,,OK,
493,8.800437692,300.1441507,867.84,,OK,
495,9.193383441,315.2317203,878.688,,OK,
497,8.929340316,320.2004138,878.688,,OK,
499,8.465682269,321.7112253,889.536,,OK,
501,7.941254905,321.6363809,889.536,,OK,
503,7.487138258,320.9609923,889.536,,OK,
505,7.033449714,321.1891139,900.384,,OK,
507,6.640885572,320.4366904,900.384,,OK,
509,6.309641564,321.7776719,900.384,,OK,
511,6.605435869,310.7353214,889.536,,OK,
513,6.909738474,322.209599,900.384,,OK,
515,6.478418542,322.2009794,900.384,,OK,
517,6.133806848,321.236348,889.536,,OK,
519,5.78035758,321.7149666,878.688,,OK,
521,5.751233391,316.400596,867.84,,OK,
523,5.708742811,321.4719801,867.84,,OK,
525,5.65364826,316.6447501,856.992,,OK,
527,5.375864939,317.8538652,867.84,,OK,
531,5.32395406,313.3085743,856.992,,OK,
533,5.474867126,321.0471374,867.84,,OK,
535,5.174898299,320.3717716,867.84,,OK,
537,4.895729218,321.0799646,856.992,,OK,
539,4.664269523,322.2723387,867.84,,OK,
541,4.513896359,320.0140398,856.992,,OK,
543,4.335448593,321.6727719,856.992,,OK,
545,4.093389244,321.2102729,856.992,,OK,
547,3.851002722,320.995068,856.992,,OK,
549,3.646622121,321.5759811,856.992,,OK,
551,3.439349669,321.2457182,856.992,,OK,
553,3.233936072,321.3984503,846.144,,OK,
555,3.365416255,316.0608313,846.144,,OK,
557,3.405769371,320.0718974,846.144,,OK,
559,3.314624479,322.0193486,856.992,,OK,
561,3.356941192,318.0276567,856.992,,OK,
563,3.380218493,321.7570347,867.84,,OK,
565,3.27440483,320.0698348,867.84,,OK,
567,3.173160098,321.7243239,867.84,,OK,
569,3.012940737,321.1146736,867.84,,OK,
571,2.844058851,321.4255041,867.84,,OK,
573,2.912793819,317.4816858,867.84,,OK,
575,2.794804538,316.4567204,867.84,,OK,
577,3.075332095,309.173475,867.84,,OK,
579,3.521203443,319.3827487,867.84,,OK,
581,3.316071638,319.6218432,878.688,,OK,
583,3.603915556,311.7002689,867.84,,OK,
585,4.030213792,301.2755816,856.992,,OK,
587,4.58819859,314.2335521,856.992,,OK,
589,4.799444532,322.2016858,856.992,,OK,
591,4.5160702,321.9362306,846.144,,OK,
593,4.362059271,319.8843352,846.144,,OK,
595,5.352887581,299.669023,824.448,,OK,
597,5.336184086,304.7546547,824.448,,OK,
599,5.369308254,310.6208254,835.296,,OK,
601,5.249730655,314.0768921,835.296,,OK,
603,5.426787725,322.1595359,846.144,,OK,
605,5.190963326,320.5059386,846.144,,OK,
607,4.975821229,322.2546283,846.144,,OK,
609,4.768749673,320.591952,846.144,,OK,
611,4.509154555,321.2071798,846.144,,OK,
613,4.298531978,320.0679864,835.296,,OK,
615,4.131817403,321.6990852,846.144,,OK,
617,3.912184211,321.0813989,846.144,,OK,
619,3.735853997,322.1722997,835.296,,OK,
621,3.62443458,320.2191563,835.296,,OK,
623,3.51068728,322.0236341,835.296,,OK,
625,3.322094408,321.5304328,835.296,,OK,
627,3.164704744,322.3342926,846.144,,OK,
629,3.424150093,315.0184622,846.144,,OK,
631,3.395988879,317.9920329,856.992,,OK,
633,3.325539748,320.2608357,867.84,,OK,
635,3.117854284,320.2582633,878.688,,OK,
637,3.02724844,321.9264241,889.536,,OK,
639,2.944290121,320.2265088,878.688,,OK,
641,2.804969134,319.5113544,889.536,,OK,
643,2.727299425,321.0736082,900.384,,OK,
645,2.573215252,321.3355609,878.688,,OK,
647,2.421932966,321.4882596,867.84,,OK,
649,2.292394704,321.8375803,867.84,,OK,
651,2.155608618,321.733763,867.84,,OK,
653,2.050852725,321.2542487,878.688,,OK,
655,1.993312854,322.3844634,889.536,,OK,
657,1.929283571,321.4156191,889.536,,OK,
659,1.983657181,318.6163578,867.84,,OK,
661,2.042039587,321.5341334,867.84,,OK,
663,1.987507661,320.3646047,878.688,,OK,
665,2.529778043,309.7007709,878.688,,OK,
667,2.713582186,315.1714152,889.536,,OK,
669,3.303037161,303.0265534,878.688,,OK,
671,3.31427704,306.5094287,889.536,,OK,
673,3.457082746,312.108597,900.384,,OK,
675,3.654653775,318.7268162,911.232,,OK,
677,3.619104928,321.8126884,922.08,,OK,
679,3.397709794,321.7359057,922.08,,OK,
681,3.190342203,321.815734,922.08,,OK,
683,3.001097516,321.9781612,932.928,,OK,
685,3.07110622,317.8569244,943.776,,OK,
687,3.059938602,320.7493488,954.624,,OK,
689,3.017299113,318.371642,943.776,,OK,
691,2.84839378,318.0568282,954.624,,OK,
693,2.777536189,319.7715006,954.624,,OK,
695,2.736435754,321.8914298,965.472,,OK,
697,2.652811193,320.492987,965.472,,OK,
699,2.567621639,321.7827653,976.32,,OK,
701,2.420004551,321.9885136,976.32,,OK,
703,2.740674877,314.4377838,987.168,,OK,
705,2.945300156,320.4524631,987.168,,OK,
707,2.824271722,321.4613083,987.168,,OK,
709,2.707699004,322.4204166,998.016,,OK,
711,2.60385874,321.3741618,998.016,,OK,
715,2.734971332,316.6725016,987.168,,OK,
717,2.880454624,321.7352056,976.32,,OK,
719,2.71716671,322.0030536,965.472,,OK,
723,3.374576985,308.7673224,932.928,,OK,
725,3.998368736,322.1225674,932.928,,OK,
