Interval start,All Packets,TCP Errors
0,182,0
1,168,0
2,130,0
3,116,0
4,116,0
5,106,0
6,96,0
7,118,0
8,106,0
9,100,0
10,112,0
11,138,0
12,110,0
13,108,0
14,101,0
15,96,0
16,130,0
17,108,0
18,114,0
19,104,0
20,102,0
21,132,0
22,104,0
23,142,0
24,118,0
25,116,0
26,116,0
27,120,0
28,102,0
29,116,0
30,112,0
31,118,0
32,114,0
33,116,0
34,132,0
35,144,0
36,144,0
37,136,0
38,126,0
39,134,0
40,204,0
41,150,0
42,130,0
43,140,0
44,126,0
45,122,0
46,126,0
47,110,0
48,128,0
49,136,0
50,112,0
51,130,0
52,124,0
53,112,0
54,120,0
55,120,0
56,146,0
57,130,0
58,106,0
59,132,0
60,138,0
61,152,0
62,116,0
63,114,0
64,156,0
65,126,0
66,138,0
67,112,0
68,124,0
69,122,0
70,134,0
71,132,0
72,136,0
73,138,0
74,144,0
75,128,0
76,146,0
77,103,0
78,107,0
79,108,0
80,118,0
81,138,0
82,130,0
83,132,0
84,116,0
85,142,0
86,142,0
87,120,0
88,84,0
89,110,0
90,148,0
91,118,0
92,92,0
93,84,0
94,92,0
95,104,0
96,116,0
97,50,0
98,246,0
99,138,0
100,122,0
101,138,0
102,156,0
103,154,0
104,158,0
105,162,0
106,162,0
107,118,0
108,162,0
109,148,0
110,116,0
111,108,0
112,94,0
113,106,0
114,174,0
115,130,0
116,128,0
117,78,0
